,target
0,-15.23606198506703
1,-21.603905772253224
2,-14.048529942869703
3,-16.21657128813869
4,-21.30503933169905
5,-13.693580261325195
6,-15.20574871318422
7,-29.363300175234755
8,-19.671150371803005
9,-24.90833243129683
10,-33.166006765829735
11,-32.17779486114799
12,-32.328531212508004
13,-24.399139149544936
14,-21.395626954592732
15,-19.433973451805432
16,-15.858578745659825
17,-25.528785142748752
18,-16.78741211596855
19,-21.603180592032185
20,-22.70275824984131
21,-12.306880510803673
22,-18.21383498473248
23,-23.908701355483736
24,-23.37585994881958
25,-23.250190903492697
26,-14.294391699644716
27,-11.589680902409743
28,-14.745511063221636
29,-20.719791547603357
30,-13.484508381608538
31,-14.525052561768744
32,-24.69679129671216
33,-17.23145418603771
34,-16.35514158179645
35,-17.224275881887344
36,-10.850002362684737
37,-24.435293106662943
38,-16.791157981037102
39,-10.16216127379451
40,-23.591135134818032
41,-19.918970058531226
42,-10.87783788984001
43,-18.50002199826537
44,-19.129264922185666
45,-18.911133278743534
46,-19.74006170015988
47,-23.443062720413952
48,-18.518702968322007
49,-25.62424805350655
50,-16.98655138396573
51,-17.68090663469353
52,-19.30792026257393
53,-19.229885813821962
54,-13.241865763796609
55,-21.262462103872622
56,-24.58780425187058
57,-25.7880167477366
58,-22.04311687575006
59,-20.365267271911122
60,-16.405529543315122
61,-16.194815036574024
62,-23.830766766872518
63,-18.89359560535938
64,-25.135097799971494
65,-22.667334138804176
66,-13.231077971565426
67,-9.155036928516717
68,-20.150840142817987
69,-17.59932766506095
70,-12.48548041818264
71,-22.21335244556018
72,-11.616948871134946
73,-27.792614111374426
74,-23.970697857070924
75,-15.360705384586256
76,-16.34225383633811
77,-24.08560502543699
78,-19.665869690785957
79,-21.99290364428555
80,-14.853314532180304
81,-27.36588127321887
82,-16.749157565567153
83,-30.702288799377826
84,-9.122662246944978
85,-27.57169753162985
86,-21.33804066950624
87,-9.015743301951115
88,-18.180693574370075
89,-19.46279518576702
90,-21.067389995496303
91,-17.658980738379853
92,-21.75940154515162
93,-22.273030250570848
94,-17.233501275257563
95,-15.024887877449924
96,-5.16522140335761
97,-17.186817652981585
98,-19.803424657414052
99,-13.838455343829038
100,-19.918472333606946
101,-20.137078189793776
102,-27.97524462517542
103,-19.729846413365948
104,-23.05650684512597
105,-19.812263853576376
106,-12.558536292962879
107,-17.1789707412169
108,-21.3885461105422
109,-23.00049216181025
110,-15.397192805000135
111,-20.5537775647641
112,-7.549102915527279
113,-22.786707382148045
114,-27.002391866698048
115,-14.574188238279737
116,-16.734586481982753
117,-25.035734792797193
118,-17.297314646437044
119,-19.654929140713733
120,-20.570659993577404
121,-22.00755704981896
122,-14.911705371237366
123,-13.537189897723403
